,Title,Anime Rank,Adaptation Type,Episodes,Aired,Anime Votes,Anime Score,Manga Rank,Type,Volumes,Published,Manga Votes,Manga Score
1584,Kono Subarashii Sekai ni Bakuen wo!,1665,TV,12,Apr 2023 - Jun 2023,254703,7.52,1355,Manga,5,Apr 2016 - Dec 2017,8459,7.77
1585,Chi's Sweet Home,1205,TV,104,Mar 2008 - Sep 2008,63131,7.67,1123,Manga,12,Jan 2004 - Jun 2015,12336,7.84
1586,To LOVE-Ru,4084,TV,26,Apr 2008 - Sep 2008,621628,6.99,2948,Manga,18,Apr 2006 - Aug 2009,65973,7.48
1587,Nobunaga Concerto,1586,TV,10,Jul 2014 - Sep 2014,57690,7.54,2975,Manga,?,May 2009 -,2438,7.48
1588,Akatsuki no Yona,548,TV,24,Oct 2014 - Mar 2015,818439,8.03,29,Manga,?,Aug 2009 -,127764,8.83
1589,Rakudai Kishi no Cavalry,1939,TV,12,Oct 2015 - Dec 2015,912088,7.44,3329,Manga,11,Mar 2014 - Dec 2017,27855,7.44
1591,Bad Boys,7235,OVA,5,Sep 1993 - Aug 1998,2906,6.33,7470,Manga,22,1988 - 1996,1671,7.07
1592,DearS,6059,TV,12,Jul 2004 - Sep 2004,145754,6.56,6518,Manga,8,Aug 2001 - Sep 2005,10769,7.14
1593,Venus Versus Virus,7213,TV,12,Jan 2007 - Mar 2007,29374,6.34,6363,Manga,8,Jun 2005 - Jul 2008,4670,7.15
1594,Claymore,1042,TV,26,Apr 2007 - Sep 2007,652203,7.74,308,Manga,27,May 2001 - Oct 2014,188366,8.29
1595,RideBack,2766,TV,12,Jan 2009 - Mar 2009,47058,7.26,6970,Manga,10,Apr 2003 - Oct 2008,1104,7.11
1596,Deatte 5-byou de Battle,5075,TV,12,Jul 2021 - Sep 2021,183229,6.76,4919,Manga,?,Aug 2015 -,14353,7.28
1597,Sankarea,2668,TV,12,Apr 2012 - Jun 2012,596460,7.28,1764,Manga,11,Dec 2009 - Nov 2014,79877,7.67
1598,Binghuo Mochu,4258,ONA,52,Dec 2021 - Nov 2022,2414,6.94,11602,Manhua,?,Apr 2014 -,842,6.78
1599,H2,2893,TV,41,Jun 1995 - Mar 1996,9720,7.23,423,Manga,34,1992 - 1999,10633,8.19
1600,Kirara,8658,OVA,1,Sep 2000 - Sep 2000,4916,6.05,15061,Manga,6,1992 - 1997,1838,6.48
1602,"Tensei Kenja no Isekai Life: Dai-2 no Shokugyou wo Ete, Sekai Saikyou ni Narimashita",7367,TV,12,Jul 2022 - Sep 2022,181292,6.31,11621,Manga,?,Jul 2018 -,13703,6.77
1604,Jigoku Sensei Nube,1508,TV,49,Apr 1996 - Jun 1997,19964,7.56,2234,Manga,31,Aug 1993 - May 1999,3511,7.59
1605,Aho Girl,5087,TV,12,Jul 2017 - Sep 2017,478357,6.75,9511,Manga,12,Nov 2012 - Dec 2017,18831,6.93
1606,Masou Gakuen HxH,8232,TV,12,Jul 2016 - Sep 2016,282374,6.13,13544,Manga,4,Jun 2015 - Jan 2018,2881,6.62
1608,Danchigai,6411,TV,12,Jul 2015 - Sep 2015,115197,6.5,1984,Manga,11,Jun 2011 - Sep 2021,5261,7.64
1609,Lupin III,1298,TV,23,Oct 1971 - Mar 1972,99266,7.63,3569,Manga,14,Jul 1967 - Apr 1972,4522,7.4
1610,Shaman King,1024,TV,64,Jul 2001 - Sep 2002,356779,7.75,1279,Manga,32,Jun 1998 - Aug 2004,71947,7.79
1611,Val x Love,9303,TV,12,Oct 2019 - Dec 2019,94394,5.9,14787,Manga,?,Dec 2015 -,5641,6.51
1612,Maken-Ki!,7324,TV,12,Oct 2011 - Dec 2011,284417,6.32,10165,Manga,24,Jun 2007 - Feb 2020,17121,6.88
1613,Shisha no Teikoku,4632,Movie,1,Oct 2015 - Oct 2015,81159,6.85,10296,Manga,3,Sep 2015 - Sep 2016,1463,6.87
1614,Shoujo Shuumatsu Ryokou,342,TV,12,Oct 2017 - Dec 2017,323538,8.2,49,Manga,6,Feb 2014 - Jan 2018,60835,8.7
1615,Joshikousei no Mudazukai,1120,TV,12,Jul 2019 - Sep 2019,115081,7.71,1390,Manga,?,Nov 2014 -,4485,7.76
1616,Nodame Cantabile,272,TV,23,Jan 2007 - Jun 2007,307047,8.27,193,Manga,25,Jul 2001 - Aug 2010,26288,8.41
1617,Tsubasa to Hotaru,4856,Special,1,Mar 2014 - Mar 2014,15253,6.8,3460,Manga,11,Aug 2013 - Nov 2017,13475,7.42
1618,Toki wo Kakeru Shoujo,447,Movie,1,Jul 2006 - Jul 2006,768957,8.11,7001,Manga,2,May 2003 - May 2004,3198,7.1
1619,Uchuu no Stellvia,2258,TV,26,Apr 2003 - Sep 2003,24243,7.36,9860,Manga,2,Apr 2003 - Jul 2004,381,6.9
1620,Yuri Seijin Naoko-san,9787,OVA,1,Dec 2010 - Dec 2010,16554,5.79,12866,Manga,5,Mar 2005 - Feb 2014,1087,6.68
1621,Usagi Drop,197,TV,11,Jul 2011 - Sep 2011,481297,8.36,6994,Manga,10,Oct 2005 - Dec 2011,45498,7.1
1623,Seijo no Maryoku wa Bannou desu,2669,TV,12,Apr 2021 - Jun 2021,170871,7.28,4637,Manga,?,Jul 2017 -,9547,7.3
1624,Urayasu Tekkin Kazoku,4582,TV,32,Jul 1998 - Aug 1998,2136,6.86,1937,Manga,31,1993 - 2001,364,7.65
1625,Shakunetsu Kabaddi,3878,TV,12,Apr 2021 - Jun 2021,97563,7.03,6266,Manga,?,Jul 2015 -,1588,7.16
1626,Omamori Himari,4694,TV,12,Jan 2010 - Mar 2010,236713,6.84,3439,Manga,12,Jun 2006 - Sep 2013,19963,7.42
1628,Kaze ga Tsuyoku Fuiteiru,177,TV,23,Oct 2018 - Mar 2019,286438,8.39,4790,Manga,6,2007 - Nov 2009,1469,7.29
1630,Mahou Sensou,9008,TV,12,Jan 2014 - Mar 2014,247539,5.97,12681,Manga,6,Apr 2013 - Jun 2015,3006,6.69
1631,Gate Keepers,4337,TV,24,Apr 2000 - Sep 2000,21837,6.92,16341,Manga,2,Dec 1999 - Oct 2001,615,6.3
1632,Danna ga Nani wo Itteiru ka Wakaranai Ken,2575,TV,13,Oct 2014 - Dec 2014,342456,7.29,5678,Manga,5,Dec 2011 - Aug 2015,5899,7.21
1633,Amatsuki,4512,TV,13,Apr 2008 - Jun 2008,57035,6.88,2141,Manga,24,Jul 2004 - Aug 2017,11393,7.61
1634,Meikyuu Black Company,2756,TV,12,Jul 2021 - Sep 2021,203890,7.26,10199,Manga,?,Dec 2016 -,7096,6.88
1635,Megane na Kanojo,5644,OVA,4,Nov 2010 - Nov 2010,14498,6.64,10819,Manga,1,2008 - 2008,648,6.84
1636,Ookiku Furikabutte,777,TV,25,Apr 2007 - Sep 2007,98255,7.88,427,Manga,?,Sep 2003 -,9487,8.18
1637,Lucky☆Star,1052,TV,24,Apr 2007 - Sep 2007,631696,7.74,1034,Manga,?,Dec 2003 -,15222,7.87
1639,Yaoguai Mingdan,4849,ONA,18,Dec 2014 - Sep 2015,25543,6.81,5792,Manhua,?,Apr 2014 -,2824,7.2
1640,Piano no Mori,1346,Movie,1,Jul 2007 - Jul 2007,66365,7.62,267,Manga,26,Aug 1998 - Nov 2015,14865,8.33
1641,Shakunetsu no Takkyuu Musume,3708,TV,12,Oct 2016 - Dec 2016,43383,7.07,2321,Manga,7,Dec 2013 - Feb 2019,1316,7.57
1642,Hoshizora e Kakaru Hashi,5405,TV,12,Apr 2011 - Jun 2011,172701,6.69,4900,Manga,2,Jul 2011 - Dec 2011,536,7.28
1643,Shinka no Mi: Shiranai Uchi ni Kachigumi Jinsei,7869,TV,12,Oct 2021 - Dec 2021,185845,6.21,14767,Manga,?,Sep 2017 -,7274,6.51
1644,Zombie-Loan,4722,TV,11,Jul 2007 - Sep 2007,136765,6.83,4048,Manga,13,Oct 2002 - Feb 2011,17906,7.35
1646,Baccano!,189,TV,13,Jul 2007 - Nov 2007,880564,8.37,2737,Manga,3,Oct 2015 - Jan 2017,3760,7.51
1648,Rougo ni Sonaete Isekai de 8-manmai no Kinka wo Tamemasu,4238,TV,12,Jan 2023 - Mar 2023,72368,6.94,5791,Manga,?,Jun 2017 -,8284,7.2
1649,Yoru wa Neko to Issho,3532,TV,30,Aug 2022 - Jan 2023,11971,7.11,4809,Manga,?,Oct 2020 -,830,7.28
1651,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",1180,TV,12,Jul 2015 - Sep 2015,775738,7.69,1117,Manga,?,Jul 2011 -,25661,7.84
1652,Shangri-La,3800,TV,24,Apr 2009 - Sep 2009,58699,7.05,12865,Manga,4,Mar 2008 - Dec 2009,804,6.68
1653,Binbougami ga!,1186,TV,13,Jul 2012 - Sep 2012,226734,7.68,476,Manga,16,Jun 2008 - Jul 2013,18826,8.15
1655,Mayoi Neko Overrun!,5624,TV,13,Apr 2010 - Jun 2010,136709,6.65,8504,Manga,2,Jan 2010 - Nov 2010,6378,7.0
1656,Yamada-kun to 7-nin no Majo,1539,TV,12,Apr 2015 - Jun 2015,759240,7.55,640,Manga,28,Feb 2012 - Feb 2017,114619,8.05
1657,Ningen Fushin no Boukensha-tachi ga Sekai wo Sukuu you desu,7326,TV,12,Jan 2023 - Mar 2023,139306,6.32,8516,Manga,6,Oct 2019 - Jan 2023,7769,7.0
1660,Tensei shitara Slime Datta Ken,416,TV,24,Oct 2018 - Mar 2019,1345993,8.14,218,Manga,?,Mar 2015 -,121851,8.39
1662,Kanojo to Kanojo no Neko,2645,OVA,1,Apr 2002 - Apr 2002,96583,7.28,4079,Manga,1,Feb 2016 - May 2016,12491,7.35
1663,RG Veda,8544,OVA,2,Jun 1991 - Jun 1992,8419,6.07,1611,Manga,10,1990 - 1996,9489,7.71
1664,Koroshi Ai,4414,TV,12,Jan 2022 - Mar 2022,155373,6.9,2183,Manga,13,Oct 2015 - Jan 2023,16608,7.6
1665,Minegishi-san wa Ootsu-kun ni Tabesasetai,8535,ONA,4,May 2020 - Jun 2020,2242,6.07,2724,Manga,3,Oct 2019 - Feb 2021,2217,7.51
1666,Maison Ikkoku,354,TV,96,Mar 1986 - Mar 1988,69217,8.19,459,Manga,15,Oct 1980 - Apr 1987,16585,8.16
1667,Gin no Saji,472,TV,11,Jul 2013 - Sep 2013,284771,8.09,262,Manga,15,Apr 2011 - Nov 2019,39434,8.33
1668,Boku no Marie,7701,OVA,3,Mar 1996 - Aug 1996,5110,6.24,14303,Manga,10,Jul 1994 - Jul 1997,721,6.56
1669,Air Gear,1745,TV,25,Apr 2006 - Sep 2006,344854,7.49,1281,Manga,37,Nov 2002 - May 2012,80825,7.79
1670,Shoukoku no Altair,1577,TV,24,Jul 2017 - Dec 2017,75395,7.55,699,Manga,?,Jul 2007 -,12919,8.02
1671,Brain Powerd,8105,TV,26,Apr 1998 - Nov 1998,10189,6.16,16393,Manga,4,Nov 1997 - Oct 2000,1161,6.29
1672,Mahou Shoujo Site,6256,TV,12,Apr 2018 - Jun 2018,226891,6.52,9920,Manga,16,Jul 2013 - Aug 2019,32492,6.9
1673,Yingxiong Zai Lin,4387,ONA,12,Oct 2020 - Dec 2020,39174,6.91,9537,Manhua,?,Jan 2017 -,1822,6.93
1674,Kindaichi Shounen no Jikenbo Returns,1628,TV,25,Apr 2014 - Sep 2014,18065,7.53,4000,Manga,14,Nov 2013 - Oct 2017,722,7.36
1675,Kimi no Na wa.,27,Movie,1,Aug 2016 - Aug 2016,2608836,8.85,212,Manga,3,May 2016 - Jan 2017,83999,8.39
1676,Plastic Neesan,3054,ONA,12,May 2011 - Jul 2012,194446,7.2,2012,Manga,?,Sep 2009 -,6774,7.63
1677,Koi Kaze,3857,TV,13,Apr 2004 - Jun 2004,83606,7.03,3351,Manga,5,2001 - 2004,8069,7.43
1678,Oooku,1670,ONA,10,Jun 2023 - Jun 2023,7279,7.51,619,Manga,19,Jun 2004 - Dec 2020,9506,8.06
1679,Kokkoku,4073,TV,12,Jan 2018 - Mar 2018,180284,6.99,7045,Manga,8,May 2008 - Sep 2014,3453,7.1
1680,Dokyuu Hentai HxEros,9916,TV,12,Jul 2020 - Sep 2020,135194,5.75,15799,Manga,12,May 2017 - Feb 2021,10493,6.39
1681,Cat Shit One,4394,ONA,1,Jul 2010 - Jul 2010,29580,6.91,7295,Manga,3,Dec 1996 - Dec 2001,2584,7.08
1682,Angel Heart,2787,TV,50,Oct 2005 - Sep 2006,17462,7.25,3166,Manga,33,May 2001 - Aug 2010,3351,7.45
1683,Samurai Champloo,123,TV,26,May 2004 - Mar 2005,1190918,8.51,3541,Manga,2,Jan 2004 - Sep 2004,13652,7.41
1684,Owari no Seraph,1766,TV,12,Apr 2015 - Jun 2015,1280662,7.49,1343,Manga,?,Sep 2012 -,106343,7.77
1685,Koi wa Sekai Seifuku no Ato de,1933,TV,12,Apr 2022 - Jun 2022,211853,7.44,2877,Manga,6,Oct 2019 - Nov 2022,12542,7.49
1686,Yuru Yuri,1481,TV,12,Jul 2011 - Sep 2011,330312,7.57,382,Manga,?,Jun 2008 -,13981,8.23
1687,Tenshi Kinryouku,7601,OVA,3,May 2000 - Aug 2000,48347,6.27,927,Manga,20,Jul 1994 - Oct 2000,25155,7.91
1688,Mitsuami no Kamisama,5117,Movie,1,Oct 2015 - Oct 2015,4782,6.75,6936,Manga,1,Aug 2011 - May 2013,1695,7.11
1689,Sasuga no Sarutobi,3660,TV,69,Oct 1982 - Mar 1984,1748,7.08,3559,Manga,7,Jul 1980 - Mar 1984,641,7.41
1690,Shijou Saikyou no Deshi Kenichi,530,TV,50,Oct 2006 - Sep 2007,293813,8.05,570,Manga,61,Aug 2002 - Sep 2014,67962,8.1
1691,Tetsuwan Birdy,3666,OVA,4,Jul 1996 - Feb 1997,30470,7.08,3709,Manga,20,Dec 2002 - Jul 2008,3379,7.39
1692,Tetsuwan Birdy,3666,OVA,4,Jul 1996 - Feb 1997,30470,7.08,13997,Manga,1,1985 - 1988,1595,6.58
1693,Bamboo Blade,2480,TV,26,Oct 2007 - Apr 2008,87311,7.31,4184,Manga,14,Dec 2004 - Sep 2010,7890,7.34
1694,Planetes,283,TV,26,Oct 2003 - Apr 2004,244451,8.26,323,Manga,4,Jan 1999 - Jan 2004,50664,8.28
1695,Plastic Little,8369,OVA,1,Mar 1994 - Mar 1994,15274,6.11,15704,Manga,1,May 1994 - May 1994,1753,6.41
1696,Blue Lock,211,TV,24,Oct 2022 - Mar 2023,562543,8.34,108,Manga,?,Aug 2018 -,148619,8.56
1697,Romantica Clock,10180,Special,3,Feb 2014 - Feb 2014,13308,5.68,3532,Manga,10,Aug 2012 - Apr 2016,8645,7.41
1698,Comic Girls,2201,TV,12,Apr 2018 - Jun 2018,139854,7.37,3188,Manga,?,Mar 2014 -,3617,7.45
1699,Puchimas!: Petit iDOLM@STER,3455,ONA,64,Jan 2013 - Mar 2013,13637,7.12,1557,Manga,?,Jul 2008 -,1236,7.72
1700,Prison Lab,11925,ONA,20,Dec 2018 - Dec 2018,4480,5.07,15791,Manga,10,Feb 2016 - Sep 2019,21778,6.4
1701,Nande Koko ni Sensei ga!?,6360,TV,12,Apr 2019 - Jun 2019,334572,6.51,10936,Manga,?,Oct 2015 -,36776,6.83
1702,Makai Tenshou,11677,OVA,2,Feb 1998 - Mar 1998,6985,5.19,15084,Manga,1,Nov 1998 - Nov 1998,420,6.48
1704,Kure-nai,2375,TV,12,Apr 2008 - Jun 2008,88762,7.33,3037,Manga,10,Nov 2007 - Jun 2012,12585,7.47
1705,Nakanohito Genome [Jikkyouchuu],4557,TV,12,Jul 2019 - Sep 2019,127140,6.87,1912,Manga,?,Oct 2014 -,6460,7.65
1706,Ramen Daisuki Koizumi-san,6183,TV,12,Jan 2018 - Mar 2018,62466,6.54,11759,Manga,?,Sep 2013 -,2367,6.76
1707,Simoun,1942,TV,26,Apr 2006 - Sep 2006,41687,7.44,15063,Manga,1,Jan 2006 - Jul 2006,1169,6.48
1708,Sayonara Watashi no Cramer,8455,TV,13,Apr 2021 - Jun 2021,42268,6.09,3842,Manga,14,May 2016 - Dec 2020,3694,7.37
1709,Ichiban Ushiro no Daimaou,5161,TV,12,Apr 2010 - Jun 2010,511286,6.74,7974,Manga,5,Sep 2008 - Dec 2013,10517,7.04
1711,Toji no Miko,4915,TV,24,Jan 2018 - Jun 2018,77808,6.79,12951,Manga,3,Oct 2017 - Mar 2019,743,6.67
1713,Hikari no Densetsu,5249,TV,19,May 1986 - Sep 1986,5428,6.72,2553,Manga,16,1985 - Dec 1988,412,7.54
1714,Kyousou Giga,4369,ONA,1,Dec 2011 - Dec 2011,45357,6.91,8993,Manga,2,Dec 2011 - Jan 2014,1632,6.97
1715,Hoshi no Samidare,10353,TV,24,Jul 2022 - Dec 2022,54264,5.64,252,Manga,10,Jun 2005 - Aug 2010,56606,8.35
1716,Ashita no Nadja,1402,TV,50,Feb 2003 - Jan 2004,31367,7.59,11686,Manga,2,Feb 2003 - Dec 2003,1050,6.77
1717,Seiken no Blacksmith,5572,TV,12,Oct 2009 - Dec 2009,180971,6.66,5765,Manga,10,Mar 2009 - Jan 2017,10041,7.2
1719,Love Live! Sunshine!!,2117,TV,13,Jul 2016 - Sep 2016,177597,7.39,5646,Manga,?,Mar 2016 -,1327,7.21
1720,Mizuiro Jidai,3118,TV,47,Apr 1996 - Feb 1997,4839,7.19,5751,Manga,7,1991 - 1994,421,7.2
1721,Goshuushou-sama Ninomiya-kun,5547,TV,12,Oct 2007 - Dec 2007,96662,6.66,4288,Manga,4,Apr 2007 - Aug 2008,976,7.33
1722,Special A,1734,TV,24,Apr 2008 - Sep 2008,358412,7.5,932,Manga,17,Feb 2003 - Mar 2009,40859,7.91
1723,Hotarubi no Mori e,255,Movie,1,Sep 2011 - Sep 2011,793998,8.29,608,Manga,1,Jun 2002 - Mar 2003,20050,8.07
1724,Ou Dorobou Jing,3123,TV,13,May 2002 - Aug 2002,37029,7.19,3766,Manga,7,Mar 1995 - Apr 1998,4217,7.38
1725,Ginga Nagareboshi Gin,570,TV,21,Apr 1986 - Aug 1986,26178,8.02,531,Manga,18,Nov 1983 - Feb 1987,4164,8.12
1726,Yakumotatsu,8903,OVA,2,Oct 1997 - Nov 1997,4373,5.99,6614,Manga,19,May 1992 - Jul 2002,619,7.13
1727,Bokutachi wa Benkyou ga Dekinai,2631,TV,13,Apr 2019 - Jun 2019,421289,7.28,1843,Manga,21,Feb 2017 - Dec 2020,80335,7.66
1728,No.6,1518,TV,11,Jul 2011 - Sep 2011,423620,7.56,204,Novel,9,Oct 2003 - Jun 2011,20539,8.4
1729,No.6,1518,TV,11,Jul 2011 - Sep 2011,423620,7.56,337,Manga,9,Jan 2011 - Nov 2013,46688,8.27
1730,Cardcaptor Sakura: Clear Card-hen,1254,TV,22,Jan 2018 - Jun 2018,117490,7.65,490,Manga,?,Jun 2016 -,15498,8.14
1732,"Maou-sama, Retry!",6095,TV,12,Jul 2019 - Sep 2019,232439,6.55,9730,Manga,5,Oct 2017 - Dec 2019,7078,6.91
1733,Ginga Eiyuu Densetsu,12,OVA,110,Jan 1988 - Mar 1997,306464,9.02,88,Novel,10,Nov 1982 - Nov 1987,9356,8.6
1734,Ginga Eiyuu Densetsu,12,OVA,110,Jan 1988 - Mar 1997,306464,9.02,7426,Manga,?,Oct 2015 -,1777,7.08
1735,Ginga Eiyuu Densetsu,12,OVA,110,Jan 1988 - Mar 1997,306464,9.02,4993,Manga,11,Aug 1986 - Feb 2000,1333,7.27
1736,Toriko,1644,TV,147,Apr 2011 - Mar 2014,125013,7.52,2003,Manga,43,May 2008 - Nov 2016,44873,7.63
1738,Maji de Watashi ni Koi Shinasai!,5488,TV,12,Oct 2011 - Dec 2011,295778,6.67,4694,Manga,6,May 2010 - Jun 2013,8027,7.29
1739,Kakkou no Iinazuke,4284,TV,24,Apr 2022 - Oct 2022,252989,6.93,7069,One-shot,?,Sep 2019 - Sep 2019,2875,7.1
1740,Kakkou no Iinazuke,4284,TV,24,Apr 2022 - Oct 2022,252989,6.93,11445,Manga,?,Jan 2020 -,37083,6.79
1741,Totsukuni no Shoujo,1537,OVA,1,Sep 2019 - Sep 2019,53651,7.55,271,Manga,11,Sep 2015 - Mar 2021,69361,8.32
1742,Land,10725,Movie,1,Oct 2013 - Oct 2013,467,5.53,7621,Manga,11,Mar 2014 - Jul 2020,1252,7.06
1743,Yakitate!! Japan,704,TV,69,Oct 2004 - Mar 2006,95600,7.91,2434,Manga,26,Mar 2002 - Jan 2007,12475,7.56
1744,Steins;Gate,2,TV,24,Apr 2011 - Sep 2011,2449954,9.07,650,Manga,3,Sep 2009 - Jul 2013,25005,8.05
1746,Jumping,6642,Movie,1,Jun 1984 - Jun 1984,4845,6.45,8163,Manga,4,May 2015 - Apr 2017,364,7.02
1747,White Album,6469,TV,13,Jan 2009 - Mar 2009,118586,6.49,11524,Manga,3,Sep 2008 - 2010,2071,6.78
1748,Potemayo,2662,TV,12,Jul 2007 - Sep 2007,16539,7.28,4597,Manga,5,Jul 2004 - Jan 2011,573,7.3
1749,Nagato Yuki-chan no Shoushitsu,5265,TV,16,Apr 2015 - Jul 2015,133656,6.72,2279,Manga,10,Jul 2009 - Aug 2016,8175,7.58
1750,Arion,8257,Movie,1,Mar 1986 - Mar 1986,6803,6.13,13613,Manga,5,Mar 1979 - Sep 1984,663,6.62
1751,D-Frag!,1700,TV,12,Jan 2014 - Mar 2014,382146,7.51,800,Manga,?,Jul 2008 -,29467,7.97
1752,Himouto! Umaru-chanS,3927,Special,12,Sep 2015 - Feb 2016,77378,7.02,9751,Manga,1,Apr 2014 - Jul 2015,1834,6.91
1753,Acchi Kocchi,1787,TV,12,Apr 2012 - Jun 2012,311994,7.48,1763,Manga,?,Sep 2006 -,8099,7.67
1754,Kishibe Rohan wa Ugokanai,1339,OVA,4,Sep 2017 - Mar 2020,141833,7.62,1265,Manga,?,Jun 1997 -,14414,7.8
1755,Chibi Maruko-chan,1364,TV,142,Jan 1990 - Sep 1992,11790,7.61,1540,Manga,15,Aug 1986 - Apr 2009,790,7.73
1756,Hana,12639,Movie,1,1967 - 1967,1033,4.3,15957,Manga,1,2002 - 2002,973,6.37
1757,Happy World!,9058,OVA,3,Dec 2002 - Jun 2003,6210,5.96,2771,Manga,11,May 2000 - May 2006,4423,7.51
1758,Devilman Lady,5850,TV,26,Oct 1998 - May 1999,24063,6.6,15058,Manga,17,Jan 1997 - Jul 2000,5455,6.48
1759,Tenkuu Shinpan,5288,ONA,12,Feb 2021 - Feb 2021,305787,6.71,6440,Manga,21,Dec 2013 - Apr 2019,48101,7.15
1761,Bishoujo Senshi Sailor Moon,1067,TV,46,Mar 1992 - Feb 1993,367580,7.73,410,Manga,18,Dec 1991 - Feb 1997,51762,8.2
1762,Juuni Taisen,6163,TV,12,Oct 2017 - Dec 2017,282366,6.54,14120,Manga,4,Sep 2017 - May 2018,3635,6.57
1763,Youkai Apartment no Yuuga na Nichijou,3171,TV,26,Jul 2017 - Dec 2017,66498,7.18,2287,Manga,?,May 2011 -,4046,7.58
1764,Kakegurui,2869,TV,12,Jul 2017 - Sep 2017,1416094,7.24,1455,Manga,?,Mar 2014 -,57244,7.75
1765,Over Drive,1632,TV,26,Apr 2007 - Sep 2007,43814,7.53,3770,Manga,17,May 2005 - May 2008,3982,7.38
1766,Bishounen Tanteidan,3496,TV,12,Apr 2021 - Jun 2021,96983,7.11,13304,Manga,?,Apr 2016 -,1292,6.64
1767,Chio-chan no Tsuugakuro,1897,TV,12,Jul 2018 - Sep 2018,115840,7.45,1562,Manga,9,Apr 2014 - Sep 2018,10995,7.72
1768,Sunabouzu,2180,TV,24,Oct 2004 - Mar 2005,135230,7.38,2467,Manga,22,Jan 1997 - Oct 2020,5988,7.55
1770,Ryuuou no Oshigoto!,4699,TV,12,Jan 2018 - Mar 2018,188528,6.84,6111,Manga,10,Sep 2015 - Aug 2019,1121,7.17
1771,Sekai no Owari ni Shiba Inu to,6664,ONA,72,Aug 2022 - Feb 2023,5241,6.45,3605,Manga,?,Mar 2018 -,2936,7.4
1772,Mimi wo Sumaseba,322,Movie,1,Jul 1995 - Jul 1995,339741,8.22,4065,Manga,1,Jul 1989 - Oct 1989,2322,7.35
1773,Cowboy Bebop,41,TV,26,Apr 1998 - Apr 1999,1778244,8.75,6359,Manga,3,Apr 1999 - Apr 2000,16259,7.15
1774,Honoo no Mirage,6425,TV,13,Jan 2002 - Apr 2002,23340,6.5,9855,Manga,4,Aug 1994 - Apr 1997,510,6.9
1777,Madan no Ou to Vanadis,3515,TV,13,Oct 2014 - Dec 2014,345358,7.11,4141,Manga,10,Oct 2011 - Aug 2016,11459,7.35
1778,Pyuu to Fuku! Jaguar,6576,OVA,3,Nov 2007 - Jan 2008,865,6.47,2676,Manga,20,Aug 2000 - Aug 2010,2208,7.52
1779,Karakai Jouzu no Takagi-san,1150,TV,12,Jan 2018 - Mar 2018,568429,7.7,580,Manga,?,Jun 2012 -,74928,8.09
1780,Isekai Shoukan wa Nidome desu,10210,TV,12,Apr 2023 - Jun 2023,117151,5.68,16981,Manga,?,Jun 2018 -,13439,6.14
1782,Seto no Hanayome,1224,TV,26,Apr 2007 - Oct 2007,320722,7.67,2584,Manga,16,Jul 2002 - Nov 2010,8437,7.53
1783,Hajime no Ippo,40,TV,75,Oct 2000 - Mar 2002,550050,8.76,46,Manga,?,Sep 1989 -,79800,8.71
1784,Mouryou no Hako,3282,TV,13,Oct 2008 - Dec 2008,60856,7.16,3177,Manga,5,Aug 2007 - Apr 2010,2256,7.45
1785,Maria†Holic,3984,TV,12,Jan 2009 - Mar 2009,173455,7.01,5925,Manga,14,May 2006 - Nov 2014,7844,7.19
1786,Freezing,4872,TV,12,Jan 2011 - Apr 2011,317622,6.8,4429,Manga,?,Jan 2007 -,40132,7.32
1787,Arakawa Under the Bridge,1495,TV,13,Apr 2010 - Jun 2010,345876,7.56,1168,Manga,15,Dec 2004 - Jul 2015,17096,7.83
1788,Tsundere Akuyaku Reijou Liselotte to Jikkyou no Endou-kun to Kaisetsu no Kobayashi-san,2928,TV,12,Jan 2023 - Mar 2023,75891,7.22,1519,Manga,?,Jun 2019 -,6285,7.73
1791,Pumpkin Scissors,3291,TV,24,Oct 2006 - Mar 2007,41988,7.16,1724,Manga,23,2002 - Mar 2020,4784,7.68
1792,Queen Emeraldas,4774,OVA,4,Jun 1998 - Dec 1999,7345,6.82,5447,Manga,4,1978 - 1978,1655,7.23
1793,Getter Robo G,6005,TV,39,May 1975 - Mar 1976,3084,6.57,9178,Manga,3,Mar 1975 - Oct 1975,2877,6.95
1794,School Days,10736,TV,12,Jul 2007 - Sep 2007,645856,5.53,16441,Manga,2,May 2006 - Sep 2007,15285,6.28
1795,School Days,10736,TV,12,Jul 2007 - Sep 2007,645856,5.53,14866,One-shot,?,-,372,6.5
1797,"Hachi-nan tte, Sore wa Nai deshou!",7624,TV,12,Apr 2020 - Jun 2020,222319,6.26,13857,Manga,?,Apr 2015 -,11449,6.6
1799,Kämpfer,7044,TV,12,Oct 2009 - Dec 2009,281642,6.37,10368,Manga,10,Feb 2008 - Jun 2013,11334,6.87
1800,Kyoukasho ni Nai!,10966,OVA,2,Apr 1998 - May 1998,5065,5.46,9326,Manga,18,1995 - Sep 2002,1627,6.94
1801,Kore ga Watashi no Goshujinsama,6252,TV,12,Apr 2005 - Jul 2005,75924,6.52,14674,Manga,5,Feb 2002 - Oct 2008,3866,6.52
1802,RPG Fudousan,5273,TV,12,Apr 2022 - Jun 2022,43329,6.72,5896,Manga,?,Apr 2018 -,838,7.19
1803,Shin Tennis no Ouji-sama,1636,TV,13,Jan 2012 - Mar 2012,61954,7.53,3792,Manga,?,Mar 2009 -,12102,7.38
